Timestamp,AAPL,GOOGL,MSFT,NVDA
2024-08-23 19:00:00,226.8951,165.4774,416.76,129.4291
2024-08-23 19:30:00,226.8801,165.4774,416.78,129.4391
2024-08-26 09:00:00,226.4905,166.1965,416.42,129.5491
2024-08-26 09:30:00,226.091,165.9169,415.64,128.6892
2024-08-26 10:00:00,224.7025,164.9881,414.2,126.8344
2024-08-26 10:30:00,224.5726,165.3326,414.04,126.6844
2024-08-26 11:00:00,224.8224,165.3277,414.57,127.0493
2024-08-26 11:30:00,224.6226,165.3277,413.24,126.4294
2024-08-26 12:00:00,225.562,165.6572,413.98,127.0243
2024-08-26 12:30:00,225.9361,165.787,413.9,126.9743
2024-08-26 13:00:00,225.8712,165.847,413.45,126.4794
2024-08-26 13:30:00,225.3518,165.5474,411.87,126.0094
2024-08-26 14:00:00,225.6215,165.9164,412.78,126.5794
2024-08-26 14:30:00,226.076,165.9968,413.5,126.975
2024-08-26 15:00:00,226.181,165.9468,413.26,126.6294
2024-08-26 15:30:00,226.97,165.9768,413.61,126.4494
2024-08-26 16:00:00,226.5904,165.9768,413.5,126.6644
2024-08-26 16:30:00,225.4567,165.9468,413.11,126.5544
2024-08-26 17:00:00,225.6514,165.9938,413.205,126.5694
2024-08-26 17:30:00,225.8512,165.9368,413.21,126.7394
2024-08-26 18:00:00,225.6914,165.7271,412.375,126.7394
2024-08-26 18:30:00,225.6015,165.7271,412.255,126.5594
2024-08-26 19:00:00,225.9811,165.797,413.245,126.7194
2024-08-26 19:30:00,226.2708,165.9768,412.8,126.5597
2024-08-27 09:00:00,225.8213,165.6662,412.77,125.0395
2024-08-27 09:30:00,226.4955,165.4874,412,126.8291
2024-08-27 10:00:00,227.7192,165.9968,414.08,127.1909
2024-08-27 10:30:00,228.0555,165.9568,412.9,128.4592
2024-08-27 11:00:00,228.3485,165.797,411.42,128.1092
2024-08-27 11:30:00,227.9139,165.5474,411.09,128.0143
2024-08-27 12:00:00,227.6892,165.9568,412.13,127.9593
2024-08-27 12:30:00,227.839,165.7371,411.785,128.1752
2024-08-27 13:00:00,228.2386,165.8285,412.7107,128.7942
2024-08-27 13:30:00,228.2736,165.8919,413.375,128.9892
2024-08-27 14:00:00,228.2318,165.4924,413.96,128.4492
2024-08-27 14:30:00,228.1787,165.2342,413.8,128.5984
2024-08-27 15:00:00,227.899,165.0181,413.689,128.4492
2024-08-27 15:30:00,227.889,164.4388,413.83,128.3292
2024-08-27 16:00:00,227.9239,164.5487,413.86,128.2792
2024-08-27 16:30:00,227.8091,164.4588,403.6374,128.2892
2024-08-27 17:00:00,227.7042,164.3889,413.68,128.1992
2024-08-27 17:30:00,227.5993,164.4888,413.74,128.1892
2024-08-27 18:00:00,227.2996,164.2691,412.78,127.9593
2024-08-27 18:30:00,227.4994,164.1293,412.65,127.9393
2024-08-27 19:00:00,227.2996,163.9295,412.7,127.8293
2024-08-27 19:30:00,227.1997,164.1792,412.25,127.6893
2024-08-28 09:00:00,227.6492,164.8483,415,128.1892
2024-08-28 09:30:00,228.3485,163.1606,412.47,126.8294
2024-08-28 10:00:00,229.3873,162.7062,412.4,127.2693
2024-08-28 10:30:00,227.2297,162.2618,409.72,125.0895
2024-08-28 11:00:00,226.5604,161.7525,409.1773,123.9597
2024-08-28 11:30:00,226.5804,162.2318,408.95,125.5267
2024-08-28 12:00:00,226.7802,162.1719,409,125.4745
2024-08-28 12:30:00,227.2687,162.5614,410.25,125.8793
2024-08-28 13:00:00,227.2197,162.4615,409.95,125.6645
2024-08-28 13:30:00,225.6464,161.7724,407.85,124.0546
2024-08-28 14:00:00,225.8312,161.9722,408.625,124.9475
2024-08-28 14:30:00,226.914,162.6912,409.91,125.8594
2024-08-28 15:00:00,227.2097,162.7511,410.546,126.1494
2024-08-28 15:30:00,226.2608,162.6113,410.61,125.6495
2024-08-28 16:00:00,225.4816,162.2817,408.81,121.1898
2024-08-28 16:30:00,225.4716,162.122,407.9443,120.5699
2024-08-28 17:00:00,225.9611,161.7325,408.11,117.6103
2024-08-28 17:30:00,226.1709,162.1819,407.75,115.5003
2024-08-28 18:00:00,226.1659,161.8324,408.3,117.4701
2024-08-28 18:30:00,225.3817,161.5827,407.98,117.1902
2024-08-28 19:00:00,225.8612,161.7225,407.88,116.4402
2024-08-28 19:30:00,225.4517,161.333,408.47,116.9402
2024-08-29 09:00:00,229.8768,164.0494,414.92,121.3798
2024-08-29 09:30:00,231.3152,165.5074,421.01,123.1197
2024-08-29 10:00:00,231.1654,164.6681,419.7787,120.7299
2024-08-29 10:30:00,232.1143,164.9681,420.14,122.1947
2024-08-29 11:00:00,232.1942,164.8683,419.42,120.9798
2024-08-29 11:30:00,231.425,164.7934,419.1579,121.1048
2024-08-29 12:00:00,232.1942,164.7185,419.32,121.2798
2024-08-29 12:30:00,232.2841,164.2897,419.495,120.6255
2024-08-29 13:00:00,231.8796,164.0494,418.165,120.6149
2024-08-29 13:30:00,231.485,162.9908,417.965,120.9798
2024-08-29 14:00:00,230.591,161.7425,415.47,119.205
2024-08-29 14:30:00,230.1964,160.8237,413.41,117.7601
2024-08-29 15:00:00,229.8868,161.0634,413.91,117.9214
2024-08-29 15:30:00,229.5771,161.6027,413.18,117.6201
2024-08-29 16:00:00,229.8968,161.8823,414.06,117.8401
2024-08-29 16:30:00,230.0053,161.8922,413.99,118.1601
2024-08-29 17:00:00,229.9767,161.7824,414.4,118.2001
2024-08-29 17:30:00,230.0566,161.8723,414.45,118.1001
2024-08-29 18:00:00,229.7569,161.8124,413.89,118.0701
2024-08-29 18:30:00,229.7469,161.8223,414.005,118.2001
2024-08-29 19:00:00,230.0316,161.8224,413.815,118.3401
2024-08-29 19:30:00,230.0361,161.9622,413.61,118.4801
2024-08-30 09:00:00,229.8169,162.3417,415.02,119.522
2024-08-30 09:30:00,228.818,162.8809,416.625,120.9085
2024-08-30 10:00:00,228.9428,162.3916,415.95,119.29
2024-08-30 10:30:00,228.4384,161.7125,414.43,118.4707
2024-08-30 11:00:00,227.9939,161.9222,415.25,117.85
2024-08-30 11:30:00,228.3684,162.2218,414.8,118.2395
2024-08-30 12:00:00,227.7791,161.8823,413.04,118.3397
2024-08-30 12:30:00,228.1087,162.1819,413.92,118.4602
2024-08-30 13:00:00,227.899,162.2668,413.6,118.2194
2024-08-30 13:30:00,227.5094,162.0739,412.4203,118.1601
2024-08-30 14:00:00,227.7391,162.2118,412.97,118.6485
2024-08-30 14:30:00,228.3085,162.2318,413.79,119.02
2024-08-30 15:00:00,228.788,162.6263,414.2901,119.026
2024-08-30 15:30:00,228.6082,163.0907,417.12,119.35
2024-08-30 16:00:00,228.6931,163.0108,417.13,119.25
2024-08-30 16:30:00,228.7231,163.1606,416.62,119.22
2024-08-30 17:00:00,228.8579,163.1206,416.82,119.16
2024-08-30 17:30:00,228.8879,163.0108,416.935,119.19
2024-08-30 18:00:00,228.8479,163.0807,416.7757,119.09
2024-08-30 18:30:00,228.8629,162.851,416.91,119.15
2024-08-30 19:00:00,228.8479,163.0607,417.01,119.215
2024-08-30 19:30:00,228.8979,163.1206,417.05,119.23
2024-09-03 09:00:00,228.2985,161.373,417.99,116.0003
2024-09-03 09:30:00,225.9112,160.2695,418.21,112.9005
2024-09-03 10:00:00,225.0621,160.0647,417.6,112.1706
2024-09-03 10:30:00,223.3989,158.7565,413.4,109.7558
2024-09-03 11:00:00,223.6087,158.8963,413.36,110.9207
2024-09-03 11:30:00,223.294,158.7464,411.6,110.3507
2024-09-03 12:00:00,223.6437,158.5768,411.55,110.2357
2024-09-03 12:30:00,223.4639,158.7465,411.21,110.1608
2024-09-03 13:00:00,223.5852,158.8364,411.7,110.4907
2024-09-03 13:30:00,222.9644,158.2022,410.97,109.5758
2024-09-03 14:00:00,221.8856,157.2935,409.43,108.2759
2024-09-03 14:30:00,221.6908,157.3783,410.04,108.8109
2024-09-03 15:00:00,222.2052,156.9689,409.7875,108.2909
2024-09-03 15:30:00,222.5149,157.1786,409.54,108.0109
2024-09-03 16:00:00,221.526,157.2186,408,106.3711
2024-09-03 16:30:00,221.6908,157.7878,409,105.4711
2024-09-03 17:00:00,220.8867,157.3983,408.89,105.567
2024-09-03 17:30:00,220.9966,157.6965,408.8062,106.3511
2024-09-03 18:00:00,221.0365,157.5581,408.6867,106.391
2024-09-03 18:30:00,220.6569,157.3384,408.6,106.0811
2024-09-03 19:00:00,220.3573,157.2186,408.2,105.6611
2024-09-03 19:30:00,220.632,157.5636,409,105.3912
2024-09-04 09:00:00,221.2962,156.4096,405.5096,105.3912
2024-09-04 09:30:00,219.3284,157.5581,406.89,106.931
2024-09-04 10:00:00,218.3944,157.648,408.22,107.3511
2024-09-04 10:30:00,219.2085,157.9725,410.565,109.6558
2024-09-04 11:00:00,218.4395,156.909,409.2,108.2609
2024-09-04 11:30:00,219.0787,156.889,409.503,107.8959
2024-09-04 12:00:00,219.688,156.9289,409.76,108.6659
2024-09-04 12:30:00,219.9727,157.0188,409.41,108.9109
2024-09-04 13:00:00,219.8778,156.5694,408.15,109.0009
2024-09-04 13:30:00,220.632,156.0177,408.795,108.7015
2024-09-04 14:00:00,220.6669,156.3298,409.41,108.0959
2024-09-04 14:30:00,220.2674,156.2299,408.925,106.191
2024-09-04 15:00:00,220.3073,156.5644,409.61,105.9461
2024-09-04 15:30:00,220.5471,156.1899,408.8,106.1611
2024-09-04 16:00:00,220.4472,156.5994,408.75,106.0711
2024-09-04 16:30:00,220.4272,156.8291,408.8,106.5911
2024-09-04 17:00:00,220.5965,156.889,409.1,106.951
2024-09-04 17:30:00,220.6569,156.889,408.99,107.111
2024-09-04 18:00:00,220.637,156.6993,408.865,106.7895
2024-09-04 18:30:00,220.6569,156.7991,409.25,107.051
2024-09-04 19:00:00,220.1974,156.3597,408.445,106.946
2024-09-04 19:30:00,219.8179,156.17,407.85,106.651
2024-09-05 09:00:00,221.4361,156.13,407.58,104.9412
2024-09-05 09:30:00,224.4628,158.2272,411.45,108.8509
2024-09-05 10:00:00,224.8323,158.4669,411.99,109.0703
2024-09-05 10:30:00,223.4539,157.7978,409.43,107.671
2024-09-05 11:00:00,222.2352,156.9589,407.63,106.2861
2024-09-05 11:30:00,221.7258,156.6244,407.05,106.3261
2024-09-05 12:00:00,222.5501,156.6144,407.45,107.4011
2024-09-05 12:30:00,222.5798,156.5095,407.05,106.931
2024-09-05 13:00:00,222.1453,156.3299,406.295,106.3286
2024-09-05 13:30:00,223.364,157.3783,409.19,107.556
2024-09-05 14:00:00,223.0848,156.9789,408.23,106.976
2024-09-05 14:30:00,223.0743,157.0388,407.8198,107.206
2024-09-05 15:00:00,222.5848,156.7891,407.7185,107.1703
2024-09-05 15:30:00,222.1353,157.0688,408.4,107.231
2024-09-05 16:00:00,221.9955,156.869,407.51,106.2911
2024-09-05 16:30:00,222.0854,156.6693,407.14,106.5311
2024-09-05 17:00:00,222.1553,156.5994,407.8,106.5511
2024-09-05 17:30:00,222.1053,156.5994,407.9,106.5711
2024-09-05 18:00:00,221.9355,156.4196,407.49,106.4261
2024-09-05 18:30:00,222.2002,156.7791,407.55,106.4311
2024-09-05 19:00:00,222.0454,156.7592,407.6,106.2011
2024-09-05 19:30:00,221.9655,156.6393,408.19,106.3411
2024-09-06 09:00:00,223.7535,157.0588,409.4,108.0309
2024-09-06 09:30:00,223.7985,154.652,407.57,104.1563
2024-09-06 10:00:00,222.445,153.5735,405.71,103.6913
2024-09-06 10:30:00,221.1564,153.1341,402.7,102.6364
2024-09-06 11:00:00,221.0066,152.2449,402.62,102.3114
2024-09-06 11:30:00,220.7169,151.8058,401.7025,101.6545
2024-09-06 12:00:00,220.4472,151.2266,401.61,101.8315
2024-09-06 12:30:00,220.4372,151.3514,402.485,102.0014
2024-09-06 13:00:00,220.7069,151.5362,402.53,102.6064
2024-09-06 13:30:00,220.0226,151.4263,401.695,102.3716
2024-09-06 14:00:00,219.9477,151.4363,401.52,102.0014
2024-09-06 14:30:00,220.2973,151.6011,401.38,102.7806
2024-09-06 15:00:00,220.8168,151.4763,401.91,103.3763
2024-09-06 15:30:00,220.7069,150.6474,401.74,102.8014
2024-09-06 16:00:00,219.8878,150.188,400.645,102.6914
2024-09-06 16:30:00,219.738,149.9184,400.255,102.3314
2024-09-06 17:00:00,219.8978,150.208,400.01,102.3314
2024-09-06 17:30:00,219.658,150.2779,400.165,102.4314
2024-09-06 18:00:00,219.8978,150.2679,400.13,102.5214
2024-09-06 18:30:00,219.9577,150.3378,400.07,102.4914
2024-09-06 19:00:00,219.9477,150.3378,400.3,102.5614
2024-09-06 19:30:00,219.8778,150.2579,400.07,102.4814
2024-09-09 09:00:00,220.607,152.4,407.12,104.8612
2024-09-09 09:30:00,218.9988,152.59,406.8,106.1111
2024-09-09 10:00:00,218.6342,150.46,404.31,105.0312
2024-09-09 10:30:00,216.961,148.965,402.31,103.8304
2024-09-09 11:00:00,218.7191,148.3,403.3,104.9212
2024-09-09 11:30:00,219.668,149.3,404.59,105.3812
2024-09-09 12:00:00,219.9777,149.319,405.4309,105.5611
2024-09-09 12:30:00,219.9078,149.545,404.9,105.7761
2024-09-09 13:00:00,220.597,149.5181,405.19,105.9411
2024-09-09 13:30:00,218.9282,149.2362,404.09,105.2712
2024-09-09 14:00:00,216.931,148.645,403.32,104.9312
2024-09-09 14:30:00,217.6403,148.1726,403.4472,105.3706
2024-09-09 15:00:00,219.0187,147.67,403.5,105.7925
2024-09-09 15:30:00,220.7468,148.73,405.72,106.4711
2024-09-09 16:00:00,221.2263,148.95,406.74,106.911
2024-09-09 16:30:00,220.7768,148.92,407.76,106.791
2024-09-09 17:00:00,220.9966,148.9995,408.125,107.121
2024-09-09 17:30:00,220.8767,149.09,408.145,106.856
2024-09-09 18:00:00,220.597,149.12,408.01,107.041
2024-09-09 18:30:00,220.2074,149.13,407.67,106.8408
2024-09-09 19:00:00,220.5356,149.15,407.44,107.023
2024-09-09 19:30:00,220.617,149.19,407.21,107.0911
2024-09-10 09:00:00,218.6591,150.43,407.9,107.791
2024-09-10 09:30:00,217.2757,150.08,414.27,106.9829
2024-09-10 10:00:00,219.5382,149.99,415.27,107.2909
2024-09-10 10:30:00,218.9188,149.14,412.735,106.8611
